300 Feet
Abdullahpur
Adabor
Adabor Shyamoli
Adamjee College
Adamjee School
Agargaon
Airport
Airport Jashimuddin (Uttara)
Amin Bazar
Ansar Camp
Arambagh
Arambagh Kingdom
Arambagh Notre Dame College
Asad gate
Ashulia
Ashulia Bazar
Azampur
Azimpur
Babubazar
Badda
Badda Link Road
Baipayl
Baitul Mukarram
Bakshi Bazar
Balughat
Banani
Banasree
Bangla College
Bangla Motor
Bangla Motor Shahbag
Bangladesh Bank
Baromi
Bashabo
Bashtola
Bashundhara
Bashundhara (300 Feet Gate)
Bata Signal
Beribadh
Beribadh Tin Rastar Moor
Bijoy Sarani
Birulia
Board Bazar
Bosila
Bot tola
Cantonment
Chairman Bari
Chalantika Moor
Chandra
Chankhar Pul
Chashara
Chiriyakhana
Chittagong Road
City College
City College 
CMH
College Gate
Dainik Bangla Moor
Darussalam
Dayaganj
Demra Staff Quarter
Dhaka College
Dhakeshwari
Dhamra
Dhamrai
Dhanmondi 15
Dhanmondi 27
Dhanmondi 32
Dhanmondi 32 Kalabagan
Dholairpar
Dhour
Dhupkhola
Dia Bari
Diabari
Duaripara
ECB Square
Eden College
Fakirapul
Fantasy Kingdom
Farmgate
Farmgate Bijoy Sarani
Fulbaria
Gabtoli
Gandaria
Garrison (Cantonment)
Gazipur
Gazipur Bypass
Gazipur Chourasta
Ghatar Char
Golap Shah Mazar
Golapbag Chourasta
GPO
Gulistan
Gulshan 1
Gulshan 1 
Gulshan 2
Gulshan Bridge
Gulshan Link Road 
Hasnabad
Hazaribag
Hazipara
Hemayetpur
High Court
House Building
IDB
Ittefaq Moor
Ittefaq Moor Sayedabad
Jahangir Gate
Jakir Hossen Road
Jalkuri
Jamgora
Jamuna Future Park
Janapath Moor
Japan Garden City
Jarun
Jashimuddin
Jashimuddin (Uttara)
Jatrabari
Jigatola
Joydebpur
Jurain
Kachukhet
Kadamtali
Kakali
Kakrail
Kakrail 
Kalabagan
Kalabagan City College
Kalampur
Kallyanpur
Kalshi
Kalshi Pallabi
Kamalapur
Kamarpara
Kamlapur
Kamrangirchar
Kanchan Bridge
Kanchpur
Karwan Bazar 
Kashimpur
Katabon
Kawran Bazar
Kazipara
Kazipara Shewrapara
Kazla
Keraniganj
Khamar Bari
Khamar Bari Farmgate
Khilgaon
Khilgaon Flyover
Khilgaon Khidma Hospital
Khilkhet
Kolabagan 
Konabari
Kuchimura
Kuril Bishwa Road
Kuril Bissho Road
Kuril Bissho Road 
Kuril Chourasta
Kuril Flyover
Madanpur
Madhya Badda
Malibagg Mor
Malibagh
Malibagh Moor
Malibagh Rail Gate
Malibagh Railgate
Manik Mia Avenue
Manik Nagar
Manikganj
Maowa
Matsya Bhaban
Matuail
Mazar Road
Meghna Ghat
Merul
MES
Metro Hall
Mill Gate
Mirpur 1
Mirpur 10
Mirpur 11
Mirpur 12
Mirpur 13
Mirpur 14
Mirpur 14 Bus Stand
Mirpur 2
Mirpur 2 Mirpur 10
Mirpur 6
Mirpur DOHS
Mirpur Sony Cinema Hall
Mitford Ghat
Mogbazar
Mogbazar Mohakhali
Mohakhali
Mohammadpur
Mohammadpur Bus Stand
Motijheel
Motso Vobon
Mouchak
Mugdapara
Nabisco
Nabisco 
Nadda
Nandan Park
Narshinghapur
Natun Bazar
Nawabganj
Naya Bazar
New Market
New Market Nilkhet
Nila Market
Nilkhet
Nimtola
Nobinagar
Nobinagar Chandra
Notun Bazar
Old Airport
Palashi
Pallabi
Palli Bidyut
Paltan
Panthapath
Panthopoth 
Paturia
Police Plaza
Postagola
Press Club
Press Club Paltan
Proshika Moor
Purobi
Purobi Pallabi
Rainkhola
Rajarbag
Rajendrapur
Rajlakshmi
Rajlakshmi House Building
Rampura Bazar
Rampura Bridge
Rampura Bridge
Ray Saheb Bazar
Rayer Bazar
Rayerbag
Ring Road
Rupnagar
Rupnagar Abashik
Sadarghat
Sainik Club
Salimullah Road
Sanarpar
Sat rasta
Satrasta
Saudi Colony
Savar
Savar Cantonment
Sayedabad
Sayedabad Janapath Moor
Science Lab
Science Lab 
Shahbag
Shahbag 
Shahjadpur
Shanir Akhra
Shankar
Shantinagar
Shewra
Shewrapara
Shia Masjid
Shia Mosque
Shib Bari
Shibu Market
Shimultola
Shishu Mela
Shiyal Bari
Shonbari Sreenagar
Shonir Akhra
Showari Ghat
Shukrabad
Shukrabad Kalabagan
Shyamoli
Sign Board
Signal
Sikder Medical College
Sony Cenema Hall
Sony Cinema Hall
Sony Hall
South Banasree
Sreepur
Staff Road
Star Kabab
Station Road
Sura Bari
Tajmahal Road
Taltola
Tarabo
Technical
Tikatuli
Tolarbag
Tongi
TT Para
Uttar Badda
Uttara
Uttara House Building
Vashantek
Victoria Park
Vulta
Wireless
Workshop
Zia Uddyan
Zirabo
Zirani Bazar
